"Canton (-) / District (>>) / Commune (......)","Date et objet","Bulletins valables","Oui","Oui en %"
"Suisse","1964-02-02 Arrêté fédéral concernant l'octroi d'une amnistie fiscale générale au 1er janvier 1965",656157,275650,42.01
"Suisse","1963-12-08 Arrêté fédéral introduisant dans la constitution un article 27quater sur les bourses d'études et autres aides financières à l'instruction",611631,479987,78.48
"Suisse","1963-12-08 Arrêté fédéral concernant la prorogation du régime financier de la Confédération (Prolongation de validité de l'article 41ter de la constitution et réduction de l'impôt pour la défense nationale)",611756,474786,77.61
"Suisse","1963-05-26 Initiative populaire sur le droit du peuple de décider de l'équipement de l'armée suisse en armes atomiques",725206,274044,37.79
"Suisse","1962-11-04 Arrêté fédéral modifiant l'article 72 de la constitution (élection du Conseil national)",519790,331059,63.69
"Suisse","1962-05-27 Loi fédérale modifiant la loi sur les indemnités de présence et de déplacement des membres du Conseil national et des commissions de l'Assemblée fédérale",557966,176737,31.68
"Suisse","1962-05-27 Arrêté fédéral insérant dans la constitution fédérale un article 24sexies sur la protection de la nature et du paysage",559415,442559,79.11
"Suisse","1962-04-01 Initiative populaire pour l'interdiction des armes atomiques",824030,286884,34.81
"Suisse","1961-12-03 Arrêté fédéral concernant l'industrie horlogère suisse (Statut légal de l'horlogerie)",664862,443483,66.70
"Suisse","1961-10-22 Initiative populaire tendant à l'institution de l'initiative législative en matière fédérale",580292,170950,29.46
"Suisse","1961-03-05 Arrêté fédéral concernant le perception d'une taxe sur les carburants pour moteurs destinée à financer à titre complémentaire les routes nationales",932828,434234,46.55
"Suisse","1961-03-05 Arrêté fédéral concernant l'insertion dans la constitution d'un article 26bis sur les installations de transport par conduites de combustibles ou de carburants liquides ou gazeux",902611,644790,71.44
"Suisse","1960-12-04 Arrêté fédéral modifiant celui qui concerne les mesures complémentaires d'ordre économique et financier applicables à l'économie laitière",710166,400063,56.33
"Suisse","1960-05-29 Arrêté fédéral sur le maintien de mesures temporaires en matière de contrôle des prix",557416,432218,77.54
